intel,bifocals,badsecurity
search,upgrades,yapl
slack,cleanenergy,anonymous
commandprompt,policy,release
bjarne,smalltalk,datacaps
https,humans,update
ridesharing,themedia,skynet
death,router,cyanogenmod
ruby,biotech,branding
and,dns,netneutrality
qbit,drm,yakketyyak
socialmedia,russiatoday,closedsource
kindle,havetheyever,telecommuting
badsecurity,lte,stock
tvshows,italy,clinton
fortran,verisign,sanfrancisco
gmail,electriccar,wifi
humans,costarica,digitaldownloads
newglenn,supercomputing,coding
bigdata,makerbot,noaa
onlinestreaming,venus,liar
archlinux,circlejerk,cia
xbox,pebble,badidea
journalism,humor,autonomous
winning,phishing,cancel
pixel,grandtour,ea
corporate,trickymybehind,typography
alzheimers,maes,haskell
lessig,riaa,debeers
orwell,canada,bully
features,copyright,checkout
netgear,doom,laptops
chromium,girl,drones
iss,translate,oracle
web,openai,president
modem,proprietary,climate
fidonet,trademark,pennsylvania
gun,china,timewarner
smartphone,chip,connectedthings
grandtour,gadgets,smalltalk
programmers,mysql,stillirrelevant
goforitman,alexa,applemusic
ads,earthquake,minecraft
codec,theoldnationalsecurityexcuse,handheld
kde,debeers,tinypc
chromebook,service,cyberwar
deargodno,pcworld,solidrun
ipaddress,smartphone,tax
facebook,processor,dlink
elonmusk,bjarne,csc
